ID,VMean,VSTD,Amean,ASTD
1,1.153846154,0.367946484,0.038461538,0.999230473
2,-1.115384615,0.588348405,-0.076923077,0.844894167
3,-0.615384615,0.571098806,-0.423076923,1.064822123
4,-0.230769231,0.651625187,0.653846154,0.93561991
5,0.884615385,0.325812594,-0.269230769,0.874422887
6,-0.423076923,0.577794214,-0.461538462,0.859337849
7,0.76,0.663324958,0.08,1.115048579
8,0.208333333,0.883627241,0,0.748331477
9,-1.576923077,0.702741883,0.230769231,1.031802008
10,1.76,0.435889894,1.173913043,0.886882892
11,0.84,0.898146239,0.304347826,1.019571327
12,0.92,0.759385717,0.565217391,0.787752093
13,0.708333333,1.160178647,0.956521739,0.928256473
14,-1.2,1,-0.090909091,1.064987856
15,-1.12,0.725718035,-0.391304348,0.891328449
16,0.666666667,0.916831342,-0.434782609,1.079818459
17,-1.260869565,0.864312197,0.272727273,1.420322505
18,1.583333333,0.583592075,0.739130435,1.321754733
