ID,VMean,VSTD,AMean,ASTD
1,0.576923077,1.064822123,0.653846154,0.845804124
2,1.884615385,0.325812594,1.192307692,0.7493587
3,0.730769231,0.603833905,0.153846154,0.96715284
4,-1.04,0.611010093,0.04,0.888819442
5,-0.576923077,0.856648209,0.166666667,0.868114732
6,1.807692308,0.401918476,1.115384615,0.908930056
7,-1.576923077,0.856648209,0.923076923,1.016782255
8,-1.5,0.761577311,0.730769231,1.115623317
9,1.230769231,0.5144078,-0.230769231,1.142197612
10,-0.307692308,0.617687997,0.692307692,0.617687997
11,-0.538461538,0.904688642,0.807692308,0.849434201
12,-1.538461538,0.859337849,0.923076923,0.796144556
13,-1.576923077,0.577794214,0.115384615,0.863801972
14,0.653846154,0.68948141,0.384615385,0.852146611
15,0.75,0.531609533,-0.739130435,1.176179922
16,-0.916666667,0.40824829,-0.333333333,0.701964118
17,1.458333333,0.65800533,0.583333333,1.100065874
18,1.125,0.679673835,0.666666667,0.916831342
19,-0.791666667,0.508977378,-0.416666667,0.775531608
20,-1.583333333,0.503610155,0.083333333,0.928611243
21,-1.458333333,0.65800533,0.166666667,0.916831342
22,-1.791666667,0.65800533,1,1.142080481
23,-0.375,0.923721208,0.833333333,0.761386988
24,1.4,0.577350269,0.47826087,0.665347839
25,1.458333333,0.832970936,1.217391304,0.902346524
26,0.88,0.6,0.043478261,0.87792425
27,-0.8,1.040833,0.869565217,1.217461884
28,-0.84,0.6244998,-0.869565217,0.757048565
29,0.76,0.830662386,-0.652173913,1.112274314
30,-0.76,0.522812905,-1.130434783,0.694415898
31,0.96,0.611010093,-0.5,1.011834731
32,1.28,1.021436896,0.956521739,0.824525256
33,-1.36,0.907377173,0.52173913,1.122884484
34,0.96,0.789514619,-0.652173913,1.112274314
35,-1.24,0.597215762,-0.47826087,0.994053466
36,-1.4,0.707106781,0.130434783,1.324741753
37,-1.84,0.6244998,1.130434783,1.099766414
38,0.28,0.678232998,-1.52173913,0.994053466
39,1.28,0.54160256,0.652173913,0.884651737
40,1.36,0.7,0.260869565,1.176179922
41,1.24,0.522812905,0.782608696,0.795242772
42,-1.08,0.493288286,-0.782608696,0.421741168
43,-0.88,0.665832812,-1.086956522,0.792753744
44,-1.48,0.585946528,-0.090909091,1.064987856
45,0.84,0.472581563,0.391304348,0.722315119
46,-0.92,0.493288286,-0.47826087,0.790256875
